District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Rural_Households,Urban_Households,Households
373,ORISSA,Debagarh,312520,158230,154290,197819,112649,85170,296001,704,14518,53,102,7,409,726,91408,7350,98758
374,ORISSA,Sundargarh,2093437,1061147,1032290,1342322,750147,592175,1532352,71391,385011,5713,710,721,89986,7553,387911,230151,618062
375,ORISSA,Kendujhar,1801733,906487,895246,1052518,605119,447399,1752694,27752,9141,2177,209,131,7372,2257,490634,83664,574298
376,ORISSA,Mayurbhanj,2519738,1256213,1263525,1369397,794171,575226,2113079,33706,15008,661,162,109,351714,5299,689110,64479,753589
377,ORISSA,Baleshwar,2320529,1185787,1134742,1621232,902359,718873,2197709,94254,6434,237,111,201,18345,3238,601154,82440,683594
378,ORISSA,Bhadrak,1506337,760260,746077,1094140,596269,497871,1398543,104202,745,169,81,111,61,2425,373862,54244,428106
379,ORISSA,Kendrapara,1440361,717814,722547,1089265,579970,509295,1386792,50247,1423,169,62,52,24,1592,414749,23494,438243
380,ORISSA,Jagatsinghapur,1136971,577865,559106,889027,481049,407978,1086140,46929,1604,206,74,58,63,1897,309685,43047,352732
381,ORISSA,Cuttack,2624470,1352760,1271710,2011469,1103033,908436,2457729,141263,11985,1026,6276,1180,168,4843,579529,210768,790297
382,ORISSA,Jajapur,1827192,926034,901158,1290455,706396,584059,1725595,93642,1623,470,58,100,3073,2631,495611,45528,541139
383,ORISSA,Dhenkanal,1192811,612593,580218,829910,464093,365817,1185542,4805,727,124,366,39,139,1069,315390,36979,352369
384,ORISSA,Anugul,1273821,655718,618103,869456,494425,375031,1258684,7512,3383,812,226,36,971,2197,340410,74177,414587
385,ORISSA,Nayagarh,962789,502636,460153,688362,392333,296029,955754,5278,383,107,33,24,12,1198,261646,26688,288334
386,ORISSA,Khordha,2251673,1167137,1084536,1749936,957515,792421,2147632,84060,12527,1264,475,476,434,4805,331834,356895,688729
387,ORISSA,Puri,1698730,865380,833350,1291939,704857,587082,1644905,46094,4239,193,243,94,302,2660,402014,72210,474224
388,ORISSA,Ganjam,3529031,1779218,1749813,2210050,1262652,947398,3486059,13315,23975,590,174,170,76,4672,795476,219918,1015394
389,ORISSA,Gajapati,577817,282882,294935,262537,153663,108874,353160,1556,219482,53,2180,66,4,1316,152095,23050,175145
390,ORISSA,Kandhamal,733110,359945,373165,399786,233900,165886,580300,2138,148895,82,290,47,23,1335,218446,24489,242935
391,ORISSA,Baudh,441162,221625,219537,271612,158648,112964,438152,1007,522,24,5,11,7,1434,131377,6577,137954
392,ORISSA,Subarnapur,610183,311312,298871,398421,230393,168028,605225,1566,2374,58,46,17,6,891,176927,16575,193502
393,ORISSA,Balangir,1648997,830097,818900,927260,545672,381588,1618175,7811,16271,565,467,2225,141,3342,476770,62192,538962
394,ORISSA,Nuapada,610382,301962,308420,299383,180903,118480,601092,4952,1778,724,76,905,22,833,197258,11869,209127
395,ORISSA,Kalahandi,1576869,787101,789768,802036,484177,317859,1555367,4975,11160,796,175,1225,220,2951,456336,38412,494748
396,ORISSA,Rayagada,967911,471960,495951,407735,241959,165776,874445,4607,84916,219,249,123,44,3308,237343,49205,286548
397,ORISSA,Nabarangapur,1220946,604812,616134,470379,286984,183395,1178005,6753,32152,169,189,325,54,3299,342840,29424,372264
398,ORISSA,Koraput,1379647,678809,700838,568090,340843,227247,1294151,8850,68550,518,219,491,3384,3484,381789,78339,460128
399,ORISSA,Malkangiri,613192,303624,309568,244706,147001,97705,600219,1871,10039,213,43,195,35,577,167884,15839,183723
400,CHHATTISGARH,Koriya,658917,334737,324180,397823,229923,167900,604259,25878,9398,1391,84,1155,15474,1278,121852,59763,181615
401,CHHATTISGARH,Surguja,2359886,1193129,1166757,1187941,694686,493255,2126195,81442,97432,2303,1287,623,48295,2309,525596,65167,590763
402,CHHATTISGARH,Jashpur,851669,424747,426922,495415,280656,214759,629509,15336,189588,474,467,694,14835,766,205670,20722,226392
403,CHHATTISGARH,Raigarh,1493984,750278,743706,951639,542756,408883,1422986,17332,47653,2117,781,409,1782,924,354278,66638,420916
404,CHHATTISGARH,Korba,1206640,612915,593725,748759,433391,315368,1133176,30195,21059,3666,897,753,15649,1245,206598,126055,332653
405,CHHATTISGARH,Janjgir - Champa,1619707,815717,803990,1019634,593679,425955,1597089,14173,2926,635,556,707,2220,1401,379583,61190,440773
406,CHHATTISGARH,Bilaspur,2663629,1351574,1312055,1596560,932474,664086,2540763,57973,20745,6373,2979,2357,29122,3317,549632,188174,737806
407,CHHATTISGARH,Kabeerdham,822526,412058,410468,414167,248503,165664,776013,12206,980,924,433,1167,30222,581,187311,23868,211179
408,CHHATTISGARH,Rajnandgaon,1537133,762855,774278,1008379,561355,447024,1399658,23648,5193,3761,28541,8187,67444,701,313604,76528,390132
409,CHHATTISGARH,Durg,3343872,1682101,1661771,2303378,1284612,1018766,3129745,83499,24304,24276,19587,17209,42569,2683,533448,349741,883189
410,CHHATTISGARH,Raipur,4063872,2048186,2015686,2629749,1493158,1136591,3881485,103038,23181,16707,8397,17137,10680,3247,673499,395001,1068500
411,CHHATTISGARH,Mahasamund,1032754,511967,520787,637963,364089,273874,1008061,12570,5284,2941,521,1495,1417,465,274793,35774,310567
412,CHHATTISGARH,Dhamtari,799781,397897,401884,546833,303924,242909,777188,10425,2644,1196,667,3612,3685,364,168689,41792,210481
